Status,Declaration Name,File Path,Line Number,Last Modified,Age (Months),Age (Days),Last Commit
⚠️,"WarningAlertStyling","markdown/int-ui-standalone-styling/src/main/kotlin/org/jetbrains/jewel/intui/markdown/standalone/styling/extensions/github/alerts/IntUiGitHubAlertStyling.kt",217,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"CautionAlertStyling","markdown/int-ui-standalone-styling/src/main/kotlin/org/jetbrains/jewel/intui/markdown/standalone/styling/extensions/github/alerts/IntUiGitHubAlertStyling.kt",267,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"MarkdownStyling","markdown/int-ui-standalone-styling/src/main/kotlin/org/jetbrains/jewel/intui/markdown/standalone/styling/IntUiMarkdownStyling.kt",63,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"Paragraph","markdown/int-ui-standalone-styling/src/main/kotlin/org/jetbrains/jewel/intui/markdown/standalone/styling/IntUiMarkdownStyling.kt",87,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"Heading","markdown/int-ui-standalone-styling/src/main/kotlin/org/jetbrains/jewel/intui/markdown/standalone/styling/IntUiMarkdownStyling.kt",148,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"Heading","markdown/int-ui-standalone-styling/src/main/kotlin/org/jetbrains/jewel/intui/markdown/standalone/styling/IntUiMarkdownStyling.kt",203,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"Heading","markdown/int-ui-standalone-styling/src/main/kotlin/org/jetbrains/jewel/intui/markdown/standalone/styling/IntUiMarkdownStyling.kt",219,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"Heading","markdown/int-ui-standalone-styling/src/main/kotlin/org/jetbrains/jewel/intui/markdown/standalone/styling/IntUiMarkdownStyling.kt",235,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"Heading","markdown/int-ui-standalone-styling/src/main/kotlin/org/jetbrains/jewel/intui/markdown/standalone/styling/IntUiMarkdownStyling.kt",251,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"Heading","markdown/int-ui-standalone-styling/src/main/kotlin/org/jetbrains/jewel/intui/markdown/standalone/styling/IntUiMarkdownStyling.kt",268,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
